ID,Team,Number,Name,Position,Height,Weight
558,Carolina,26,John-Michael Liles  ,D,70,185
559,Carolina,7,Ryan Murphy  ,D,71,185
560,Carolina,4,Andrej Sekera  ,D,72,201
580,Columbus,4,Kevin Connauton  ,D,74,200
581,Columbus,29,Cody Goloubef  ,D,73,195
582,Columbus,7,"Jack Johnson ""A"" ",D,73,238
583,Columbus,3,Jordan Leopold  ,D,73,206
584,Columbus,27,Ryan Murray   **,D,73,208
585,Columbus,47,Dalton Prout  ,D,75,222
586,Columbus,58,David Savard  ,D,74,219
587,Columbus,51,Fedor Tyutin  ,D,74,212
588,Columbus,21,James Wisniewski  ,D,71,203
608,New Jersey,32,Mark Fraser  ,D,76,220
609,New Jersey,22,Eric Gelinas  ,D,76,215
610,New Jersey,6,"Andy Greene ""A"" ",D,71,190
611,New Jersey,10,Peter Harrold  ,D,71,180
612,New Jersey,5,Adam Larsson  ,D,75,205
613,New Jersey,7,Jon Merrill  ,D,75,205
614,New Jersey,24,"Bryce Salvador ""C""  **",D,75,215
615,New Jersey,28,Damon Severson   **,D,74,205
616,New Jersey,2,Marek Zidlicky  ,D,71,190
633,New York Islanders,55,Johnny Boychuk  ,D,74,225
634,New York Islanders,7,Matt Carkner  ,D,77,233
635,New York Islanders,46,Matt Donovan  ,D,73,205
636,New York Islanders,3,Travis Hamonic  ,D,74,217
637,New York Islanders,14,Thomas Hickey  ,D,72,190
638,New York Islanders,2,Nick Leddy  ,D,72,194
639,New York Islanders,37,Brian Strait  ,D,73,209
640,New York Islanders,11,Lubomir Visnovsky  ,D,70,192
641,New York Islanders,44,Calvin de Haan  ,D,73,193
657,Philadelphia,5,Braydon Coburn   **,D,77,220
658,Philadelphia,26,Carlo Colaiacovo  ,D,73,200
659,Philadelphia,15,Michael Del Zotto  ,D,72,195
660,Philadelphia,8,Nicklas Grossmann   **,D,76,230
661,Philadelphia,47,Andrew MacDonald  ,D,73,190
662,Philadelphia,20,Chris Pronger   **,D,78,220
663,Philadelphia,22,Luke Schenn  ,D,74,229
664,Philadelphia,55,Nick Schultz  ,D,73,203
665,Philadelphia,32,"Mark Streit ""A"" ",D,71,191
